Rpost_2_MCMC,pretty_country,worldmapcountry
1.103929529,"Alabama, US",United States
0.726249397,Algeria,Algeria
1.12681217,Argentina,Argentina
1.255671511,"Arizona, US",United States
0.664301992,Austria,Austria
1.33452068,Bangladesh,Bangladesh
0.681273476,Belgium,Belgium
1.489429204,Brazil,Brazil
0.706431371,"British Columbia, Canada1",Canada1
0.982903032,"California, US",United States
1.112907282,Canada1,Canada1
1.306385334,Chile,Chile
1.193369171,Colombia,Colombia
0.971531781,"Colorado, US",United States
0.784962484,"Connecticut, US",United States
0.812234811,Czechia,Czech Rep.
0.998228843,Denmark,Denmark
1.122555921,Dominican Republic,Dominican Rep.
1.29551691,Ecuador,Ecuador
1.061062703,Egypt,Egypt
0.957193491,"Florida, US",United States
0.681225054,France,France
0.994237235,"Georgia, US",United States
0.837225673,Germany,Germany
0.337793403,"Hubei, China",China
0.551803076,Hungary,Hungary
1.034795622,"Illinois, US",United States
1.243834389,India,India
1.167015289,"Indiana, US",United States
0.89545347,Indonesia,Indonesia
0.871773127,Iran,Iran
0.364539203,Ireland,Ireland
0.845987161,Israel,Israel
0.81047214,Italy,Italy
1.035985376,"Kansas, US",United States
0.970611332,"Kentucky, US",United States
0.776547473,"Louisiana, US",United States
1.037846243,"Maryland, US",United States
0.940821627,"Massachusetts, US",United States
1.46720882,Mexico,Mexico
0.906303709,"Michigan, US",United States
1.572191383,"Minnesota, US",United States
1.227563264,"Mississippi, US",United States
1.063710585,"Missouri, US",United States
0.810941008,Morocco,Morocco
0.556859253,Netherlands,Netherlands
0.765631284,"Nevada, US",United States
0.966731764,"New Jersey, US",United States
0.751517325,"New York, US",United States
1.228237212,"North Carolina, US",United States
0.866894731,Norway,Norway
1.123719062,"Ohio, US",United States
1.046059792,"Oklahoma, US",United States
0.838411481,"Ontario, Canada1",Canada1
0.810465414,"Oregon, US",United States
1.484293501,Pakistan,Pakistan
0.806865992,"Pennsylvania, US",United States
1.232551033,Peru,Peru
0.765336648,Philippines,Philippines
0.927401311,Poland,Poland
0.919364101,Portugal,Portugal
1.130002116,"Quebec, Canada1",Canada1
0.741042393,"Rhode Island, US",United States
0.809015555,Romania,Romania
1.370922248,Russian Federation,Russian Federation
1.135661774,Serbia,Serbia
0.971636235,"South Carolina, US",United States
1.326206616,South Africa,South Africa
0.574722244,Spain,Spain
1.053376476,Sweden,Sweden
0.598709943,Switzerland,Switzerland
1.111461417,"Tennessee, US",United States
1.061992468,"Texas, US",United States
0.80722702,Turkey,Turkey
1.106535334,Ukraine,Ukraine
0.841027448,United Kingdom,United Kingdom
1.117056673,"Virginia, US",United States
0.994262539,"Washington, US",United States
1.032474118,"Wisconsin, US",United States
