Country,World.region,Social.Distance.mean,Social.Distance.sd,Personal.Distance.mean,Personal.Distance.sd,Intimate.distance.mean,Intimate.distance.sd
Argentina,2,76.52,31.08,59.10,24.76,40.30,20.25
Austria,1,88.10,30.94,68.00,25.28,50.70,24.79
Brazil,2,101.21,40.05,78.00,35.27,54.04,40.50
Bulgaria,1,81.37,12.98,63.92,10.91,43.14,12.51
Canada,1,103.24,49.31,85.47,39.25,74.54,55.47
China,3,115.80,44.33,83.53,37.43,57.65,35.24
Colombia,2,117.40,40.47,85.60,34.36,60.80,37.38
Croatia,1,108.86,28.74,89.61,24.06,76.16,23.84
Czech Rep.,1,110.90,32.32,81.32,24.56,56.65,24.71
Estonia,1,118.39,35.45,94.90,30.68,69.93,25.11
Germany,1,96.23,47.62,69.87,32.84,41.43,22.99
Ghana,4,106.80,34.36,82.33,36.22,54.95,34.15
Greece,1,91.28,33.64,68.30,24.44,44.68,23.72
Hong Kong,3,116.00,40.40,87.20,34.17,69.80,36.57
Hungary,1,130.72,35.00,108.86,31.64,83.29,37.43
India,3,110.10,39.61,87.22,37.92,58.46,36.71
Indonesia,3,110.22,30.88,85.87,28.21,65.00,29.89
Iran,3,112.72,50.72,83.86,43.05,59.18,43.02
Italy,1,93.23,35.93,68.20,29.24,41.55,26.25
Kazakhstan,3,93.83,44.44,67.17,39.90,47.67,28.19
Kenya,4,110.85,39.53,89.15,38.43,57.45,41.40
Malaysia,3,111.31,37.49,76.77,23.68,45.25,21.87
Mexico,2,99.37,42.62,83.16,44.26,65.82,49.32
Nigeria,4,102.95,41.64,81.23,37.35,62.16,42.71
Norway,1,104.20,36.88,71.40,28.75,35.80,21.52
Pakistan,3,119.52,44.90,90.88,39.23,56.32,30.09
Peru,2,79.61,32.58,62.55,29.07,43.73,21.75
Poland,1,96.68,33.84,66.54,27.11,48.46,23.45
Portugal,1,110.58,45.62,76.59,33.91,46.55,34.25
Romania,1,139.64,45.84,94.64,40.09,47.14,38.03
Russian Federation,1,89.11,31.40,73.30,25.90,46.25,24.11
Saudi Arabia,3,126.87,51.59,105.15,55.95,97.47,61.35
Serbia,1,91.62,34.39,65.90,31.73,43.43,30.44
Slovakia,1,88.84,35.02,67.04,31.76,42.40,26.80
Republic of Korea,3,105.60,41.88,84.60,42.25,66.00,48.37
Spain,1,98.50,34.04,81.26,33.14,61.17,34.36
Switzerland,1,110.50,27.09,93.18,26.49,73.97,28.82
Turkey,3,123.07,48.24,92.89,39.22,58.11,36.52
United Kingdom,1,99.40,35.21,80.80,28.84,56.00,24.62
Uganda,4,121.51,51.86,101.72,51.47,66.24,48.00
Ukraine,1,85.53,33.22,64.76,28.06,39.81,23.54
United States of America,1,95.38,40.02,68.73,31.72,47.74,29.02
